2026-01-31 12:19:07 INFO  com.revplay.Main - opening playlist manager
2026-01-31 12:19:29 INFO  com.revplay.controller.UserController - fetching all playlist
2026-01-31 12:19:36 INFO  com.revplay.controller.UserController - deleting playlist
2026-01-31 12:19:46 INFO  com.revplay.controller.UserController - fetching all playlist
2026-01-31 12:19:59 INFO  com.revplay.controller.UserController - fetching recent played songs
2026-01-31 12:20:09 INFO  com.revplay.controller.UserController - fetching listening history
2026-01-31 12:21:08 INFO  com.revplay.controller.ArtistController - started artist registration
2026-01-31 12:21:29 INFO  com.revplay.controller.ArtistController - started artist login
2026-01-31 12:21:53 INFO  com.revplay.controller.ArtistController - fetching all albums of artist
2026-01-31 12:22:21 INFO  com.revplay.controller.ArtistController - started song uploading
2026-01-31 12:22:33 INFO  com.revplay.controller.ArtistController - fetching all songs of artist
2026-01-31 12:22:47 INFO  com.revplay.controller.ArtistController - fetching user who marked my song favourite
2026-01-31 12:22:59 INFO  com.revplay.controller.ArtistController - fetching all albums of artist
2026-01-31 12:23:11 INFO  com.revplay.controller.ArtistController - fetching song statistics
2026-01-31 12:23:40 INFO  com.revplay.controller.UserController - finding user
2026-01-31 12:23:55 INFO  com.revplay.controller.UserController - finding user
2026-01-31 12:24:27 INFO  com.revplay.controller.UserController - Reseting password
2026-01-31 12:31:33 INFO  com.revplay.Main - closing RevPlay!
